127.0.0.1 - - [19/Jun/2024:09:42:44 +0900] "GET / HTTP/1.1" 404 808
192.168.4.120 - - [19/Jun/2024:09:42:55 +0900] "GET /fit-together/events/design HTTP/1.1" 302 -
192.168.4.120 - - [19/Jun/2024:09:42:55 +0900] "GET /fit-together/login HTTP/1.1" 200 1427
192.168.4.120 - - [19/Jun/2024:09:42:55 +0900] "GET /fit-together/image/main.png HTTP/1.1" 404 843
192.168.4.120 - - [19/Jun/2024:09:42:55 +0900] "GET /fit-together/css/style.css?1718757775954 HTTP/1.1" 200 2277
192.168.4.120 - - [19/Jun/2024:09:42:56 +0900] "GET /favicon.ico HTTP/1.1" 404 819
192.168.4.120 - - [19/Jun/2024:09:43:02 +0900] "POST /fit-together/login-handle HTTP/1.1" 302 -
192.168.4.120 - - [19/Jun/2024:09:43:02 +0900] "GET /fit-together/index HTTP/1.1" 200 359
192.168.4.120 - - [19/Jun/2024:09:43:02 +0900] "GET /fit-together/css/style.css?1718757782391 HTTP/1.1" 200 2277
192.168.4.120 - - [19/Jun/2024:09:43:13 +0900] "GET /fit-together/logout HTTP/1.1" 200 -
192.168.4.120 - - [19/Jun/2024:09:43:42 +0900] "GET /fit-together/index HTTP/1.1" 200 359
192.168.4.120 - - [19/Jun/2024:09:43:42 +0900] "GET /fit-together/css/style.css?1718757822841 HTTP/1.1" 200 2277
